number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16061734,2992611491486,145336406642253299929904923,173799800197853554535095,48210103667110,294694091374,39997252611135375296590,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16466210348706089942523,1212837642379010571473
16062034,2991767174676,145221297267362503911990622,173799800197853554535095,48513025829044,294695342849,39749109488546828304839,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16472604942002256573222,1211278008314441298453
16062334,2997448539922,145353029359329944132685942,173799790073118510415974,48730299286192,293358894395,39752255879886705138564,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16512081003921917344398,1215277557001956206500
16062634,3000844931269,145620502379777352881328553,173799790073118510415974,48337840990570,294574678341,39910344559627223871529,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16529555483491097485515,1218107714518820927599
16062934,2993782097671,145356881863427552134728734,173799790073118510415974,48499268670323,294775793120,39750909965141934215880,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16464964292123763664742,1214262388834167315767
16063234,2999299188218,145543224677856945866200667,173799790073118510415974,48537244901851,292682669958,40003663359232244996562,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16511439578289464765157,1217549375565727818725
16063534,2996072831268,145429240576457359581242691,173799676805951757329489,48301802789443,293424752037,40096697404203906612044,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16493919277771682995478,1214914851978363707959
16063834,2994292405879,145394233416337006615938309,173757736297889203905463,48281339754597,293517133602,40072175186959460928747,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16481267372389582417330,1213683870062382453896
16064134,2996558459761,145415453941897644594522842,173757741804614947118114,48578918500482,294665636114,39671261057884185661598,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16498494456453672245057,1215168930776195560970
16064434,2997478350139,145415822848644946281316691,173757898661753135484139,48526797720703,294673245463,39713370593570818867516,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16504311067008597678424,1215856914909461431945
16064734,2976116735803,144532488126109323057450507,173763617957214871629753,47799948571922,293660713250,40454120059124992014967,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16386352110658324940997,1198749634811274688244
16065034,2975820181780,144280841239814546625905803,173765987401373359023597,48278548411119,292402002905,40228440018057771262691,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16398478989646926602217,1197514449216299705997
16065334,2939645338927,143770770479936987401576159,173765987401373359023597,47214335562638,295334963264,40724210649283256377343,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16184016957044382338668,1169706680926996310465
16065634,2933301150378,143473105103951562802553280,173729180294121485084794,47145436121126,295159957943,40782404113069899056562,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16110071369089409086120,1167485325493523814389
16065934,2937673749083,143473333341600671246841924,173729180294121485084794,47314305916748,295170225071,40636576042436486180405,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16135216196212332968716,1170872529680244624596
16066234,2939461277265,143473518737747164606087253,173729180294121485084794,47362671938957,295170225071,40595515456430345644396,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16114636384657003999916,1174498001423470131299
16066534,2935666794434,143338133166077849715444623,173729180294121485084794,47229790526207,295477559071,40666751357709394278056,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16093836742047263756834,1171474858597928899270
16066834,2935536591462,143338267227691459211591469,173729180294121485084794,47310220691790,295576250959,40584621684261965024664,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16095766549571871513089,1171176187204111797499
16067134,2937733269069,143338391156229792977635237,173729180294121485084794,47314439575440,295255639617,40625195217943076329253,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16121874633498209318285,1171898723839417743868
16067434,2940852394172,143338561802613754109171646,173729185239606344739489,47375773893627,294785594955,40637747511630498276600,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16152887732358229146370,1173366364130978371084
