number,value,ETH / USD,STETH / ETH ETH/USD Composite
15039647,10829,122860780000,118265108518
15039947,10829,122950660725,118351627208
15040247,10829,119842110000,115359353442
15040547,10829,118352290000,113925260936
15040847,10829,118131000000,113712248403
15041147,10829,116464030000,112107632285
15041447,10829,115495871732,111175688481
15041747,10829,116152917381,111808156995
15042047,10829,115184765000,110876218858
15042347,10829,114254000000,109980269608
15042647,10829,114861000000,110564564457
15042947,10829,115230450000,110920194987
15043247,10829,114376626382,110098309086
15043547,10829,113272323541,109035313269
15043847,10829,111949793149,107762252815
15044147,10829,112948000000,108723121219
15044447,10802,113011000000,108520835271
15044747,10802,111660000000,107223513343
15045047,10802,111621710921,107186745569
15045347,10802,110735500000,106335745672
15045647,10802,111197980055,106779850422
15045947,10802,110398571985,106012204516
15046247,10802,110800164565,106397840978
15046547,10802,110451100424,106062645889
15046847,10802,111045414960,106633347059
15047147,10802,111343670000,106919751799
15047447,10802,109631000000,105275129780
15047747,10802,109730180000,105370369150
15048047,10802,108889749099,104563330337
15048347,10802,109049000000,104716253864
15048647,10802,109148602560,104811899005
15048947,10802,108844000000,104519398946
15049247,10802,105498802255,101307112943
15049547,10802,105113997432,100937597225
15049847,10823,102784890000,98889319028
15050147,10823,101870000000,98009103569
